room_id,nearest_node_id
DKU_SCI2_3_312,SCI2_3_R_312
DKU_SCI2_3_313,SCI2_3_R_313
DKU_SCI2_3_314,SCI2_3_R_314
DKU_SCI2_3_315,SCI2_3_R_315
DKU_SCI2_3_316,SCI2_3_R_316
DKU_SCI2_3_316_1,SCI2_3_R_316_1
DKU_SCI2_3_317,SCI2_3_R_317
DKU_SCI2_3_318,SCI2_3_R_318
DKU_SCI2_3_319,SCI2_3_R_319
DKU_SCI2_3_320,SCI2_3_R_320
DKU_SCI2_3_321,SCI2_3_R_321
DKU_SCI2_3_322,SCI2_3_R_322
DKU_SCI2_3_323,SCI2_3_R_323
DKU_SCI2_3_324,SCI2_3_R_324
DKU_SCI2_3_325,SCI2_3_R_325
DKU_SCI2_3_326,SCI2_3_R_326
DKU_SCI2_4_401,SCI2_4_N038
DKU_SCI2_4_401_1,SCI2_4_R_401_1
DKU_SCI2_4_402,SCI2_4_N037
DKU_SCI2_4_402_1,SCI2_4_R_402_1
DKU_SCI2_4_403,SCI2_4_N036
DKU_SCI2_4_404,SCI2_4_N036
DKU_SCI2_4_405,SCI2_4_N031
DKU_SCI2_4_406,SCI2_4_N032
DKU_SCI2_4_407,SCI2_4_N032
DKU_SCI2_4_408,SCI2_4_N032
DKU_SCI2_4_409,SCI2_4_N032
DKU_SCI2_4_410,SCI2_4_N032
DKU_SCI2_4_411,SCI2_4_N032
DKU_SCI2_4_412,SCI2_4_N031
DKU_SCI2_4_413,SCI2_4_N031
DKU_SCI2_4_414,SCI2_4_N036
DKU_SCI2_4_415,SCI2_4_N036
DKU_SCI2_4_415_1,SCI2_4_R_415_1
DKU_SCI2_4_416,SCI2_4_N037
DKU_SCI2_4_416_1,SCI2_4_R_416_1
DKU_SCI2_4_417,SCI2_4_N042
DKU_SCI2_4_418,SCI2_4_N043
DKU_SCI2_4_419,SCI2_4_N043
DKU_SCI2_4_420,SCI2_4_N044
DKU_SCI2_4_421,SCI2_4_N044
DKU_SCI2_4_422,SCI2_4_N042
DKU_SCI2_5_501,SCI2_5_R_501
DKU_SCI2_5_502,SCI2_5_R_502
DKU_SCI2_5_503,SCI2_5_R_503
DKU_SCI2_5_504,SCI2_5_R_504
DKU_SCI2_5_505,SCI2_5_R_505
DKU_SCI2_5_506,SCI2_5_R_506
DKU_SCI2_5_507,SCI2_5_R_507
DKU_SCI2_5_508,SCI2_5_R_508
DKU_SCI2_5_509,SCI2_5_R_509
DKU_SCI2_5_510,SCI2_5_R_510
DKU_SCI2_5_511,SCI2_5_R_511
DKU_SCI2_5_512,SCI2_5_R_512
DKU_SCI2_5_513,SCI2_5_R_513
DKU_SCI2_5_514,SCI2_5_R_514
DKU_SCI2_5_515,SCI2_5_R_515
DKU_SCI2_5_516,SCI2_5_R_516
DKU_SCI2_5_517,SCI2_5_R_517
DKU_SCI2_5_518,SCI2_5_R_518
DKU_SCI2_5_519,SCI2_5_R_519
DKU_SCI2_5_520,SCI2_5_R_520
DKU_SCI2_5_521,SCI2_5_R_521
DKU_SCI2_5_522,SCI2_5_R_522
DKU_SCI2_5_523,SCI2_5_R_523
DKU_SCI2_5_524,SCI2_5_R_524
DKU_SCI2_5_525,SCI2_5_R_525
DKU_SCI2_5_526,SCI2_5_R_526
DKU_SCI2_5_527,SCI2_5_R_527
DKU_SCI2_5_528,SCI2_5_R_528
DKU_SCI3_1_101,SCI3_1_R_101
DKU_SCI3_1_102,SCI3_1_R_102
DKU_SCI3_1_103,SCI3_1_R_103
DKU_SCI3_1_104,SCI3_1_R_104
DKU_SCI3_1_105,SCI3_1_R_105
DKU_SCI3_1_106,SCI3_1_R_106
DKU_SCI3_1_107,SCI3_1_R_107
DKU_SCI3_1_108,SCI3_1_R_108
DKU_SCI3_1_109,SCI3_1_R_109
DKU_SCI3_1_110,SCI3_1_R_110
DKU_SCI3_1_111,SCI3_1_R_111
DKU_SCI3_2_201,SCI3_2_R_201
DKU_SCI3_2_202,SCI3_2_R_202
DKU_SCI3_2_203,SCI3_2_R_203
DKU_SCI3_2_204,SCI3_2_R_204
DKU_SCI3_2_205,SCI3_2_R_205
DKU_SCI3_2_206,SCI3_2_R_206
DKU_SCI3_2_207,SCI3_2_R_207
DKU_SCI3_2_208,SCI3_2_R_208
DKU_SCI3_2_209,SCI3_2_R_209
DKU_SCI3_2_210,SCI3_2_R_210
DKU_SCI3_2_211,SCI3_2_R_211
DKU_SCI3_2_212,SCI3_2_R_212
DKU_SCI3_2_213,SCI3_2_R_213
DKU_SCI3_2_214,SCI3_2_R_214
DKU_SCI3_2_215,SCI3_2_R_215
DKU_SCI3_2_216,SCI3_2_R_216
DKU_SCI3_2_217,SCI3_2_R_217
DKU_SCI3_2_218,SCI3_2_R_218
DKU_SCI3_2_219,SCI3_2_R_219
DKU_SCI3_2_220,SCI3_2_R_220
DKU_SCI3_2_221,SCI3_2_R_221
DKU_SCI3_2_222,SCI3_2_R_222
DKU_SCI3_2_223,SCI3_2_R_223
DKU_SCI3_2_224,SCI3_2_R_224
DKU_SCI3_2_224_1,SCI3_2_R_224_1
DKU_SCI3_2_225,SCI3_2_R_225
DKU_SCI3_2_226,SCI3_2_R_226
DKU_SCI3_2_227,SCI3_2_R_227
DKU_SCI3_3_301,SCI3_3_N053
DKU_SCI3_3_302,SCI3_3_N053
DKU_SCI3_3_303,SCI3_3_N052
DKU_SCI3_3_304,SCI3_3_N051
DKU_SCI3_3_305,SCI3_3_N051
DKU_SCI3_3_305_1,SCI3_3_R_305_1
DKU_SCI3_3_305_2,SCI3_3_R_305_2
DKU_SCI3_3_305_3,SCI3_3_R_305_3
DKU_SCI3_3_306,SCI3_3_N046
DKU_SCI3_3_307,SCI3_3_N047
DKU_SCI3_3_308,SCI3_3_N047
DKU_SCI3_3_309,SCI3_3_N047
DKU_SCI3_3_310,SCI3_3_N047
DKU_SCI3_3_311,SCI3_3_N047
DKU_SCI3_3_312,SCI3_3_N047
DKU_SCI3_3_313,SCI3_3_N046
DKU_SCI3_3_314,SCI3_3_N046
DKU_SCI3_3_315,SCI3_3_N051
DKU_SCI3_3_315_1,SCI3_3_R_315_1
DKU_SCI3_3_316,SCI3_3_N052
DKU_SCI3_3_317,SCI3_3_N053
DKU_SCI3_3_318,SCI3_3_N057
DKU_SCI3_3_319,SCI3_3_N058
DKU_SCI3_3_320,SCI3_3_N058
DKU_SCI3_3_321,SCI3_3_N057
DKU_SCI3_3_321_1,SCI3_3_R_321_1
DKU_SCI3_4_401,SCI3_4_R_401
DKU_SCI3_4_402,SCI3_4_R_402
DKU_SCI3_4_403,SCI3_4_R_403
DKU_SCI3_4_404,SCI3_4_R_404
DKU_SCI3_4_405,SCI3_4_R_405
DKU_SCI3_4_406,SCI3_4_R_406
DKU_SCI3_4_407,SCI3_4_R_407
DKU_SCI3_4_408,SCI3_4_R_408
DKU_SCI3_4_409,SCI3_4_R_409
DKU_SCI3_4_410,SCI3_4_R_410
DKU_SCI3_4_411,SCI3_4_R_411
DKU_SCI3_4_412,SCI3_4_R_412
DKU_SCI3_4_413,SCI3_4_R_413
DKU_SCI3_4_414,SCI3_4_R_414
DKU_SCI3_4_415,SCI3_4_R_415
DKU_SCI3_4_416,SCI3_4_R_416
DKU_SCI3_4_417,SCI3_4_R_417
DKU_SCI3_4_418,SCI3_4_R_418
DKU_SCI3_4_419,SCI3_4_R_419
DKU_SCI3_4_420,SCI3_4_R_420
DKU_SCI3_4_421,SCI3_4_R_421
DKU_SCI3_4_422,SCI3_4_R_422
DKU_SCI3_4_422_1,SCI3_4_R_422_1
DKU_SCI3_4_423,SCI3_4_R_423
DKU_SCI3_4_424,SCI3_4_R_424
DKU_SCI3_5_501,SCI3_5_R_501
DKU_SCI3_5_502,SCI3_5_R_502
DKU_SCI3_5_503,SCI3_5_R_503
DKU_SCI3_5_504,SCI3_5_R_504
DKU_SCI3_5_505,SCI3_5_R_505
DKU_SCI3_5_506,SCI3_5_R_506
DKU_SCI3_5_507,SCI3_5_R_507
DKU_SCI3_5_508,SCI3_5_R_508
DKU_SCI3_5_509,SCI3_5_R_509
DKU_SCI3_5_510,SCI3_5_R_510
DKU_SCI3_5_511,SCI3_5_R_511
DKU_SCI3_5_512,SCI3_5_R_512
DKU_SCI3_5_513,SCI3_5_R_513
DKU_SCI3_5_514,SCI3_5_R_514
DKU_SCI3_5_515,SCI3_5_R_515
DKU_SCI3_5_516,SCI3_5_R_516
DKU_SCI3_5_517,SCI3_5_R_517
DKU_SCI3_5_518,SCI3_5_R_518
DKU_SCI3_5_519,SCI3_5_R_519
DKU_SCI3_5_520,SCI3_5_R_520
DKU_SCI3_5_521,SCI3_5_R_521
DKU_SCI3_5_522,SCI3_5_R_522
